Age,Overall rating,Height in cm,Weight in kg,Value,Wage,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,ATT,DEF,GK,MID
34,78,182,76,€4.1M,€45K,73.4,86,62.6,62.8,53.17,26,7,14,13,6,14,FALSE,FALSE,FALSE,TRUE
19,65,174,65,€1.8M,€3K,53.2,60.8,73.2,54.4,54.5,46.67,10,7,9,5,8,FALSE,FALSE,FALSE,TRUE
23,82,170,68,€43.5M,€145K,65.6,75.8,85.8,66.4,62.17,28,13,9,13,10,6,FALSE,FALSE,FALSE,TRUE
17,62,178,72,€1M,€900,51.4,58.4,71.2,53.4,52,53.67,9,13,7,11,8,FALSE,FALSE,FALSE,TRUE
18,77,175,70,€22M,€41K,68,80.6,76,61.6,65.5,51.67,13,10,11,14,10,FALSE,FALSE,FALSE,TRUE
26,74,168,69,€5M,€19K,71.6,70.4,83.4,69.2,65.83,43.67,13,16,10,14,12,TRUE,FALSE,FALSE,FALSE
18,77,179,72,€22.5M,€18K,68.6,63.6,81.8,72,59.33,28.67,13,13,11,10,13,TRUE,FALSE,FALSE,FALSE
24,82,193,82,€46M,€110K,80.8,77,76.4,77,71.83,44.33,6,8,11,10,12,FALSE,FALSE,FALSE,TRUE
20,88,186,75,€128.5M,€230K,77,78.2,82.2,81.6,81.83,77.67,14,11,10,5,8,FALSE,FALSE,FALSE,TRUE
23,74,182,70,€6M,€15K,59.2,72.8,75.6,66.6,64.33,67.67,13,6,9,10,13,FALSE,TRUE,FALSE,FALSE
23,84,192,77,€52.5M,€130K,77.6,73.4,80.6,79.4,71,32.67,7,6,9,7,11,TRUE,FALSE,FALSE,FALSE
34,82,180,71,€14.5M,€60K,75.8,84,74,71,73.5,55,12,12,13,13,11,FALSE,FALSE,FALSE,TRUE
21,81,189,74,€39.5M,€76K,72.8,77.4,78,72,75.83,49.33,7,6,10,14,14,FALSE,FALSE,FALSE,TRUE
17,66,191,75,€2.1M,€1K,57,60.6,67.8,63,60.33,62.33,10,10,13,15,11,FALSE,FALSE,FALSE,TRUE
21,70,180,75,€3.3M,€5K,44.2,44.2,77.4,62.4,55.17,70,7,8,11,6,9,FALSE,TRUE,FALSE,FALSE
17,81,178,68,€43.5M,€11K,66.2,72,79.2,77.4,74.67,74.67,14,11,7,8,15,FALSE,FALSE,FALSE,TRUE
22,76,182,76,€11.5M,€49K,66,75.2,77.6,67,60.5,47.67,14,13,11,15,5,FALSE,FALSE,FALSE,TRUE
